sortOrder,id,name_cn,description,price_adult_regular,price_adult_advance,price_child_regular,price_child_advance,price_under25,price_under18,duration,validityPeriod_startDate,validityPeriod_endDate,validityPeriod_description,coverage_regions,coverage_map,targetAudience,trainTypes,advantages,disadvantages,tips,officialLinks,purchaseLinks,category,popularity,bestFor,isLimitedPeriod
11,hokuhoku-one-day-stroll-pass,道北一日散步券,道北地区的一日散步券，适合道北地区一日游，包含旭川、富良野、美瑛等地区。,5000,,2500,,,,1,2025/4/19,2025/11/9,2025年4月19日～11月9日,北海道,/images/coverage/hokuhoku-one-day-stroll-pass.png,不问国籍所有游客皆可购买,"特急电车, 急行电车, 普通电车",覆盖道北地区;一日有效;价格合理;适合道北一日游;购买方便,仅限道北地区;仅限一日使用;不包含新干线,适合道北地区一日游;可游览旭川、富良野、美瑛;建议提前规划路线;注意各线路运行时间,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"道北一日游, 旭川富良野, 美瑛观光",
12,one-day-stroll-pass,一日散步券,北海道限定区域的一日散步券，适合北海道各地一日游，覆盖主要观光地区。,3000,,1500,,,,1,,,全年可用,北海道,/images/coverage/one-day-stroll-pass.png,不问国籍所有游客皆可购买,"特急电车, 急行电车, 普通电车",覆盖北海道主要地区;一日有效;价格合理;适合一日游;购买方便,仅限一日使用;不包含新干线;部分特急电车需额外费用,适合北海道各地一日游;可游览主要观光地区;建议提前规划路线;注意各线路运行时间,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"一日游, 主要观光地区, 价格合理",
13,peach-higashi-hokkaido-free-pass,Peach东北海道周游券,Peach航空合作的东北海道自由券，适合前往北海道东部的游客。,12000,,6000,,,,3,,,全年可用,北海道,/images/coverage/peach-higashi-hokkaido-free-pass.png,"Peach航空乘客, 关西地区游客","特急电车, 急行电车, 普通电车",覆盖东北海道地区;3日连续使用;适合Peach航空乘客;价格合理,仅限东北海道地区;需要Peach航空机票;不包含新干线,适合从关西地区前往北海道东部;需要Peach航空机票;可游览钏路、网走、知床;建议提前规划路线,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"Peach航空乘客, 东北海道, 3日游, 知床观光",
14,fda-higashi-hokkaido-free-pass,FDA东北海道周游券,FDA航空合作的东北海道自由券，适合前往北海道东部的游客。,12000,,6000,,,,3,,,全年可用,北海道,/images/coverage/fda-higashi-hokkaido-free-pass.png,"FDA航空乘客, 关西地区游客","特急电车, 急行电车, 普通电车",覆盖东北海道地区;3日连续使用;适合FDA航空乘客;价格合理,仅限东北海道地区;需要FDA航空机票;不包含新干线,适合从关西地区前往北海道东部;需要FDA航空机票;可游览钏路、网走、知床;建议提前规划路线,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"FDA航空乘客, 东北海道, 3日游, 知床观光",
15,peach-kita-hokkaido-free-pass,Peach北北海道周游券,Peach航空合作的北北海道自由券，适合前往北海道北部的游客。,12000,,6000,,,,3,,,全年可用,北海道,/images/coverage/peach-kita-hokkaido-free-pass.png,"Peach航空乘客, 关西地区游客","特急电车, 急行电车, 普通电车",覆盖北北海道地区;3日连续使用;适合Peach航空乘客;价格合理,仅限北北海道地区;需要Peach航空机票;不包含新干线,适合从关西地区前往北海道北部;需要Peach航空机票;可游览旭川、富良野、美瑛;建议提前规划路线,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"Peach航空乘客, 北北海道, 3日游, 富良野美瑛",
16,fda-kita-hokkaido-free-pass,FDA北北海道周游券,FDA航空合作的北北海道自由券，适合前往北海道北部的游客。,12000,,6000,,,,3,,,全年可用,北海道,/images/coverage/fda-kita-hokkaido-free-pass.png,"FDA航空乘客, 关西地区游客","特急电车, 急行电车, 普通电车",覆盖北北海道地区;3日连续使用;适合FDA航空乘客;价格合理,仅限北北海道地区;需要FDA航空机票;不包含新干线,适合从关西地区前往北海道北部;需要FDA航空机票;可游览旭川、富良野、美瑛;建议提前规划路线,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"FDA航空乘客, 北北海道, 3日游, 富良野美瑛",
17,ana-kita-hokkaido-free-pass,ANA北北海道周游券,ANA航空合作的北北海道自由券，适合前往北海道北部的游客。,12000,,6000,,,,3,2025/4/1,2026/3/31,2025年4月1日～2026年3月31日,北海道,/images/coverage/ana-kita-hokkaido-free-pass.png,"ANA航空乘客, 关西地区游客","特急电车, 急行电车, 普通电车",覆盖北北海道地区;3日连续使用;适合ANA航空乘客;价格合理,仅限北北海道地区;需要ANA航空机票;不包含新干线,适合从关西地区前往北海道北部;需要ANA航空机票;可游览旭川、富良野、美瑛;建议提前规划路线,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"ANA航空乘客, 北北海道, 3日游, 富良野美瑛",
18,abashiri-koshimizu-shiretoko-guru-tabipassport,网走＆小清水＆知床环游周游券,网走、小清水、知床地区的环游周游券，适合知床地区深度游，包含主要观光景点。,8000,,4000,,,,2,2025/7/15,2025/9/30,2025年7月15日～9月30日,北海道,/images/coverage/abashiri-koshimizu-shiretoko-guru-tabipassport.png,不问国籍所有游客皆可购买,"特急电车, 急行电车, 普通电车, 巴士",覆盖网走、小清水、知床地区;2日连续使用;包含主要观光景点;适合知床深度游,仅限知床地区;不包含新干线;部分特急电车需额外费用,适合知床地区深度游;可游览网走、小清水、知床;建议提前规划路线;注意各景点开放时间,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"知床深度游, 网走小清水, 2日游, 自然观光",
19,senmo-line-free-pass,钏网线周游券,钏网线的自由券，适合钏网线沿线观光，包含钏路、网走等地区。,6000,,3000,,,,1,2025/8/28,2026/3/13,2025年8月28日～2026年3月13日,北海道,/images/coverage/senmo-line-free-pass.png,不问国籍所有游客皆可购买,"特急电车, 急行电车, 普通电车",覆盖钏网线沿线;一日有效;价格合理;适合钏网线观光,仅限钏网线沿线;仅限一日使用;不包含新干线,适合钏网线沿线观光;可游览钏路、网走;建议提前规划路线;注意各线路运行时间,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"钏网线观光, 钏路网走, 一日游, 价格合理",
20,chikyu-tansaku-tetsudo-hanasaki-line-free-pass,地球探索铁道花咲线周游券,地球探索铁道花咲线的自由券，适合花咲线沿线观光，包含钏路、根室等地区。,4000,,2000,,,,1,2025/8/28,2026/3/13,2025年8月28日～2026年3月13日,北海道,/images/coverage/chikyu-tansaku-tetsudo-hanasaki-line-free-pass.png,不问国籍所有游客皆可购买,"特急电车, 急行电车, 普通电车",覆盖花咲线沿线;一日有效;价格合理;适合花咲线观光,仅限花咲线沿线;仅限一日使用;不包含新干线,适合花咲线沿线观光;可游览钏路、根室;建议提前规划路线;注意各线路运行时间,JR北海道 https://www.jrhokkaido.co.jp/global/cn/ticket/railpass/index.html,JR北海道官方 https://www.jrhokkaido.co.jp/global/cn/ticket/reservation/index.html#sec-1 type:official,regional,3,"花咲线观光, 钏路根室, 一日游, 价格合理",
21,sapporo-streetcar-1day,札幌市电一日券,札幌市电的一日券，适合札幌市内一日游，覆盖札幌市电全线路。,500,,250,,,,1,,,全年可用,北海道,/images/coverage/sapporo-streetcar-1day.png,不问国籍所有游客皆可购买,路面电车,覆盖札幌市电全线路;一自然日有效;价格便宜;适合札幌市内一日游;购买方便,仅限札幌市电;不包含地铁;不包含JR线路;仅支持现金支付,适合札幌市内一日游;可游览札幌主要景点;建议提前规划路线;注意各线路的运行时间,札幌市交通事业振兴公社 https://www.city.sapporo.jp/st/josyaken/card.html,札幌市交通事业振兴公社 https://www.city.sapporo.jp/st/josyaken/ticket_h.html type:official,city,3,"札幌一日游, 现金支付, 市电随便坐, 购票机可购买",
22,sapporo-streetcar-24hour,札幌市电24小时券,札幌市电的24小时券，适合札幌市内24小时游，覆盖札幌市电全线路。,600,,300,,,,1,,,全年可用,北海道,/images/coverage/sapporo-streetcar-24hour.png,不问国籍所有游客皆可购买,路面电车,覆盖札幌市电全线路;24小时有效;价格合理;适合札幌市内24小时游;购买方便,仅限札幌市电;不包含地铁;不包含JR线路;仅支持现金支付,适合札幌市内24小时游;可游览札幌主要景点;建议提前规划路线;注意各线路的运行时间,札幌市交通事业振兴公社 https://www.city.sapporo.jp/st/josyaken/card.html,札幌市交通事业振兴公社 https://www.city.sapporo.jp/st/josyaken/ticket_h.html type:official,city,3,"札幌24小时游, 现金支付, 市电随便坐, 购票机可购买",
23,dosanko-pass-1day,道产子一日券,道产子一日券，适合札幌市小范围一日游，包含地铁和市电，覆盖札幌市内主要交通。,1000,,500,,,,1,,,全年可用,北海道,/images/coverage/dosanko-pass.png,不问国籍所有游客皆可购买,"地铁, 路面电车",覆盖札幌地铁和市电全线路;一自然日有效;价格合理;适合札幌市内一日游;购买方便,仅限札幌市内;不包含JR线路;不包含巴士;仅支持现金支付,适合札幌市内一日游;可游览札幌主要景点;建议提前规划路线;注意各线路的运行时间,札幌市交通事业振兴公社 https://www.city.sapporo.jp/st/josyaken/card.html,札幌市交通事业振兴公社 https://www.city.sapporo.jp/st/josyaken/ticket_h.html type:official,city,3,"札幌一日游, 现金支付, 地铁市电随便坐, 购票机可购买",
24,hakodate-streetcar-1day,函馆市电一日券,函馆市电的一日券，适合函馆市内一日游，覆盖函馆市电全线路。,600,,300,,,,1,,,全年可用,北海道,/images/coverage/hakodate-streetcar-1day.png,不问国籍所有游客皆可购买,路面电车,覆盖函馆市电全线路;一自然日有效;价格合理;适合函馆市内一日游;购买方便,仅限函馆市电;不包含巴士;不包含JR线路;仅支持现金支付,适合函馆市内一日游;可游览函馆主要景点;建议提前规划路线;注意各线路的运行时间,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/1day.html,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/1day.html type:official,city,3,"函馆一日游, 现金支付, 市电随便坐, 购票机可购买",
25,hakodate-smartphone-streetcar-24hour,函馆市电24小时券,函馆市电24小时券，适合函馆市内24小时游，覆盖函馆市电全线路，支持智能手机购买。,700,,350,,,,1,,,全年可用,北海道,/images/coverage/hakodate-smartphone-streetcar-24hour.png,不问国籍所有游客皆可购买,路面电车,覆盖函馆市电全线路;24小时有效;价格合理;支持智能手机购买;适合函馆市内24小时游,仅限函馆市电;不包含巴士;不包含JR线路;需要智能手机,适合函馆市内24小时游;支持智能手机购买;可游览函馆主要景点;建议提前规划路线,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/smartphone.html,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/smartphone.html type:official,city,3,"函馆24小时游, 智能手机购买, 市电随便坐, 价格合理",
26,hakodate-smartphone-streetcar-bus-1day,函馆市电・函馆巴士共通一日券,函馆市电・函馆巴士共通一日券，适合函馆市内一日游，覆盖函馆市电和巴士全线路，支持智能手机购买。,800,,400,,,,1,,,全年可用,北海道,/images/coverage/hakodate-smartphone-streetcar-bus-1day.png,不问国籍所有游客皆可购买,"路面电车, 巴士",覆盖函馆市电和巴士全线路;一自然日有效;价格合理;支持智能手机购买;适合函馆市内一日游,仅限函馆市内;不包含JR线路;需要智能手机,适合函馆市内一日游;支持智能手机购买;可游览函馆主要景点;建议提前规划路线,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/smartphone.html,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/smartphone.html type:official,city,3,"函馆一日游, 智能手机购买, 市电巴士随便坐, 价格合理",
27,hakodate-smartphone-streetcar-bus-2day,函馆市电・函馆巴士共通二日券,函馆市电・函馆巴士共通二日券，适合函馆市内二日游，覆盖函馆市电和巴士全线路，支持智能手机购买。,1200,,600,,,,2,,,全年可用,北海道,/images/coverage/hakodate-smartphone-streetcar-bus-2day.png,不问国籍所有游客皆可购买,"路面电车, 巴士",覆盖函馆市电和巴士全线路;二日连续使用;价格合理;支持智能手机购买;适合函馆市内二日游,仅限函馆市内;不包含JR线路;需要智能手机,适合函馆市内二日游;支持智能手机购买;可游览函馆主要景点;建议提前规划路线,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/smartphone.html,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/smartphone.html type:official,city,3,"函馆二日游, 智能手机购买, 市电巴士随便坐, 价格合理",
28,hakodate-night-tram-ticket,函馆夜间电车券,函馆夜间电车券，适合17点以后夜间游览函馆，包含函馆市电夜间使用。,500,,250,,,,1,,,【期间限定】,北海道,/images/coverage/hakodate-night-tram-ticket.png,不问国籍所有游客皆可购买,路面电车,覆盖函馆市电全线路;夜间优惠价格;一自然日有效;适合夜间游览函馆;购买方便,仅限函馆市电;仅限夜间使用;不包含JR线路;不包含巴士,适合夜间游览函馆;可游览函馆夜景;建议提前规划路线;注意各线路的运行时间,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/nighttram.html,函馆市企业局交通部 https://www.city.hakodate.hokkaido.jp/koutsuu/nighttram.html type:official,city,3,"夜间函馆游, 现金支付, 市电随便坐, 购票机可购买",TRUE
29,isarihi-1day-ticket,渔火一日券,道南渔火铁道的一日券，适合道南地区一日游，覆盖渔火铁道全线路。,800,,400,,,,1,,,全年可用,北海道,/images/coverage/isarihi-1day-ticket.png,不问国籍所有游客皆可购买,普通电车,覆盖いさりび鉄道全线路;一自然日有效;价格合理;适合道南地区一日游;购买方便,仅限いさりび鉄道;不包含JR线路;不包含巴士;仅支持现金支付,适合道南地区一日游;可游览道南主要景点;建议提前规划路线;注意各线路的运行时间,道南いさりび鉄道 https://www.isaribi-line.com/,道南いさりび鉄道 https://www.isaribi-line.com/ type:official,regional,3,"道南一日游, 现金支付, いさりび鉄道随便坐, 购票机可购买",
30,isarihi-1day-campus,渔火一日区域券,道南渔火铁道的一日区域券，适合道南地区一日游，覆盖渔火铁道全线路，五菱郭区域。,600,,300,,,,1,,,全年可用,北海道,/images/coverage/isarihi-1day-campus.png,"学生, 不问国籍所有游客皆可购买",普通电车,覆盖いさりび鉄道全线路;一自然日有效;学生优惠价格;适合道南地区一日游;购买方便,仅限いさりび鉄道;不包含JR线路;不包含巴士;仅支持现金支付,适合道南地区一日游;学生优惠价格;可游览道南主要景点;建议提前规划路线,道南いさりび鉄道 https://www.isaribi-line.com/,道南いさりび鉄道 https://www.isaribi-line.com/ type:official,regional,3,"道南一日游, 学生优惠, いさりび鉄道随便坐, 购票机可购买",
